region,educ,age,female,industry,work_hours,wage,foreign_language,internet,alcohol,is_children,health,weight,height,smoke,year
"Ленинградская область, Волосовский район",2,49.0,1,ОБРАЗОВАНИЕ,10.0,47000.0,0,1,1,1,0,56.0,164.0,1,2022
"Ленинградская область, Волосовский район",0,36.0,0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",9.0,30000.0,0,1,1,1,0,120.0,185.0,1,2022
"Ленинградская область, Волосовский район",0,27.0,0,"ДЕРЕВООБРАБАТЫВАЮЩАЯ ПРОМЫШЛЕННОСТЬ, ЛЕСНОЕ ХОЗЯЙСТВО",8.0,16000.0,0,1,0,0,0,68.0,175.0,0,2022
"Ленинградская область, Волосовский район",0,68.0,1,ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,8.0,16000.0,0,1,1,1,0,84.0,165.0,0,2022
"Ленинградская область, Волосовский район",0,65.0,0,"АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ",24.0,27500.0,0,1,1,1,0,60.0,165.0,0,2022
"Ленинградская область, Волосовский район",0,46.0,0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",8.0,50000.0,1,1,1,1,0,88.0,193.0,1,2022
"Ленинградская область, Волосовский район",0,37.0,1,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",10.0,60000.0,0,1,1,1,0,57.0,158.0,1,2022
"Ленинградская область, Волосовский район",1,32.0,0,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",8.0,60000.0,0,1,1,0,0,83.0,174.0,1,2022
"Ленинградская область, Волосовский район",0,54.0,1,"ТРАНСПОРТ, СВЯЗЬ",8.0,12000.0,0,1,1,1,0,68.0,164.0,0,2022
"Ленинградская область, Волосовский район",0,43.0,1,"ТРАНСПОРТ, СВЯЗЬ",8.0,20000.0,0,1,1,1,0,59.0,160.0,1,2022
"Ленинградская область, Волосовский район",0,41.0,1,ЗДРАВООХРАНЕНИЕ,24.0,49000.0,0,1,1,1,0,96.0,161.0,1,2022
"Ленинградская область, Волосовский район",2,46.0,1,ОБРАЗОВАНИЕ,8.0,105000.0,1,1,1,1,1,83.0,162.0,0,2022
"Ленинградская область, Волосовский район",0,59.0,1,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,24.0,20000.0,0,1,1,1,0,110.0,163.0,0,2022
"Ленинградская область, Волосовский район",0,53.0,0,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,24.0,50000.0,0,1,1,1,0,80.0,169.0,1,2022
"Ленинградская область, Волосовский район",0,38.0,1,СТРОИТЕЛЬСТВО,12.0,37000.0,1,1,1,1,0,69.0,159.0,1,2022
"Ленинградская область, Волосовский район",0,60.0,0,"ТРАНСПОРТ, СВЯЗЬ",12.0,50000.0,0,1,1,0,0,73.0,180.0,0,2022
"Ленинградская область, Волосовский район",0,53.0,0,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,8.0,70000.0,0,1,1,1,0,80.0,170.0,1,2022
"Ленинградская область, Волосовский район",2,45.0,1,ОРГАНЫ УПРАВЛЕНИЯ,8.0,24000.0,0,1,1,1,1,67.0,160.0,0,2022
"Ленинградская область, Волосовский район",1,45.0,1,СЕЛЬСКОЕ ХОЗЯЙСТВО,12.0,25000.0,0,0,1,1,1,68.0,178.0,1,2022
"Ленинградская область, Волосовский район",2,49.0,1,ОБРАЗОВАНИЕ,7.0,35000.0,0,1,1,1,1,68.0,165.0,0,2022
"Ленинградская область, Волосовский район",0,52.0,0,"АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ",12.0,20000.0,0,1,1,1,0,98.0,179.0,1,2022
Краснодар,2,35.0,1,"НАУКА, КУЛЬТУРА",8.0,40000.0,1,1,0,1,0,65.0,168.0,0,2022
Краснодар,1,62.0,1,ОБРАЗОВАНИЕ,8.0,12000.0,0,1,1,1,1,64.0,161.0,1,2022
Краснодар,1,57.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",8.0,50000.0,0,1,1,1,0,105.0,167.0,0,2022
Краснодар,2,40.0,0,ЮРИСПРУДЕНЦИЯ,8.0,30000.0,1,1,1,0,0,75.0,182.0,1,2022
Краснодар,0,36.0,0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",8.0,30000.0,0,1,0,0,0,80.0,185.0,0,2022
Краснодар,2,51.0,0,ЮРИСПРУДЕНЦИЯ,8.0,130000.0,1,1,1,1,0,120.0,185.0,0,2022
Краснодар,2,49.0,1,ОБРАЗОВАНИЕ,8.0,70000.0,1,1,0,1,0,79.0,180.0,0,2022
Краснодар,1,37.0,0,"ТРАНСПОРТ, СВЯЗЬ",8.0,60000.0,0,1,1,0,0,90.0,186.0,1,2022
Краснодар,2,35.0,0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",8.0,100000.0,1,1,1,0,0,105.0,187.0,1,2022
Краснодар,2,33.0,0,СТРОИТЕЛЬСТВО,8.0,60000.0,1,1,1,1,0,80.0,185.0,1,2022
Краснодар,2,54.0,0,ЗДРАВООХРАНЕНИЕ,12.0,15000.0,0,1,1,1,0,107.0,187.0,0,2022
Краснодар,2,46.0,1,ЗДРАВООХРАНЕНИЕ,8.0,28000.0,1,1,1,1,0,60.0,166.0,0,2022
Краснодар,2,49.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",8.0,25000.0,0,1,0,1,0,60.0,170.0,0,2022
Краснодар,1,59.0,1,ЗДРАВООХРАНЕНИЕ,12.0,20000.0,0,1,0,1,1,72.0,160.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",2,39.0,1,СЕЛЬСКОЕ ХОЗЯЙСТВО,8.0,40000.0,0,1,1,1,0,72.0,163.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",0,65.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",12.0,20000.0,0,1,0,1,0,64.0,154.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",0,42.0,1,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",12.0,27000.0,0,1,1,1,0,52.0,156.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",0,58.0,0,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,8.0,20000.0,0,1,0,1,0,74.0,169.0,1,2022
"Удмуртская Республика, Глазов и Глазовский район",0,60.0,1,ОБРАЗОВАНИЕ,8.0,15000.0,0,1,0,1,0,75.0,169.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",0,62.0,1,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",11.0,18000.0,0,1,0,1,0,52.0,158.0,1,2022
"Удмуртская Республика, Глазов и Глазовский район",2,68.0,1,ОБРАЗОВАНИЕ,6.0,32000.0,0,1,0,1,0,94.0,143.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",1,59.0,1,"СМИ, ИЗДАТЕЛЬСТВО, ПЕЧАТЬ, ТЕЛЕКОММУНИКАЦИИ",8.0,8900.0,0,1,1,1,0,65.0,168.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",2,44.0,1,ОБРАЗОВАНИЕ,5.0,30000.0,0,1,0,1,0,75.0,170.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",2,41.0,1,"НАУКА, КУЛЬТУРА",8.0,25000.0,0,1,0,1,1,53.0,157.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",1,67.0,1,ОБРАЗОВАНИЕ,8.0,25000.0,0,1,0,1,0,80.0,152.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",0,58.0,1,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",8.0,20000.0,0,0,1,1,0,59.0,153.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",2,33.0,1,ОБРАЗОВАНИЕ,7.0,23000.0,0,1,1,1,0,100.0,160.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",2,75.0,1,ЗДРАВООХРАНЕНИЕ,24.0,60000.0,0,1,1,1,0,75.0,164.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",2,44.0,0,СТРОИТЕЛЬСТВО,8.0,30000.0,0,1,1,1,0,110.0,182.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",1,53.0,1,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,8.0,15900.0,1,1,0,0,0,72.0,168.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",2,46.0,1,СОЦИАЛЬНОЕ ОБСЛУЖИВАНИЕ,7.0,30000.0,0,1,1,1,0,75.0,172.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",1,36.0,1,ЗДРАВООХРАНЕНИЕ,12.0,33300.0,1,1,1,1,1,49.0,156.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",2,52.0,1,ОБРАЗОВАНИЕ,8.0,20000.0,0,1,0,1,0,100.0,163.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",0,42.0,0,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",13.0,41000.0,0,1,0,1,0,86.0,180.0,1,2022
"Удмуртская Республика, Глазов и Глазовский район",0,63.0,1,ЗДРАВООХРАНЕНИЕ,12.0,12000.0,0,1,0,1,1,67.0,166.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",0,64.0,0,СОЦИАЛЬНОЕ ОБСЛУЖИВАНИЕ,24.0,11000.0,0,1,1,1,1,86.0,168.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",0,41.0,1,СЕЛЬСКОЕ ХОЗЯЙСТВО,8.0,14000.0,0,1,0,1,1,72.0,168.0,0,2022
"Удмуртская Республика, Глазов и Глазовский район",0,39.0,1,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",8.0,20000.0,0,1,1,1,0,90.0,162.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,53.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",9.0,20000.0,0,1,0,1,0,83.0,167.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,60.0,0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,8.0,35300.0,0,1,1,1,1,95.0,182.0,1,2022
"Пермский край, Соликамск и Соликамский район",0,69.0,0,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,7.0,50000.0,0,0,1,1,1,115.0,173.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,38.0,1,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,8.0,50000.0,0,1,1,1,0,50.0,160.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,56.0,1,"ТРАНСПОРТ, СВЯЗЬ",8.0,19000.0,0,1,1,1,0,66.0,154.0,0,2022
"Пермский край, Соликамск и Соликамский район",1,47.0,1,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,8.0,30000.0,1,1,0,1,0,75.0,164.0,0,2022
"Пермский край, Соликамск и Соликамский район",2,54.0,1,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,8.0,50300.0,0,1,1,1,0,56.0,168.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,54.0,0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,7.0,52800.0,0,1,1,1,0,89.0,172.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,54.0,1,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,8.0,36000.0,0,0,1,1,0,78.0,156.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,32.0,1,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,8.0,35000.0,0,1,0,1,0,55.0,164.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,28.0,0,ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,8.0,45000.0,0,1,1,1,0,64.0,176.0,1,2022
"Пермский край, Соликамск и Соликамский район",0,48.0,0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,7.0,45000.0,0,0,1,1,0,91.0,173.0,1,2022
"Пермский край, Соликамск и Соликамский район",0,44.0,0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",8.0,19000.0,0,1,1,1,0,67.0,176.0,1,2022
"Пермский край, Соликамск и Соликамский район",2,62.0,0,ЗДРАВООХРАНЕНИЕ,6.0,50000.0,0,1,1,1,0,87.0,180.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,42.0,1,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,8.0,45000.0,0,0,0,1,0,56.0,150.0,0,2022
"Пермский край, Соликамск и Соликамский район",2,41.0,1,ОБРАЗОВАНИЕ,7.0,16000.0,1,1,0,1,0,58.0,154.0,0,2022
"Пермский край, Соликамск и Соликамский район",2,39.0,1,ОБРАЗОВАНИЕ,9.0,16000.0,1,1,1,1,0,47.0,151.0,0,2022
"Пермский край, Соликамск и Соликамский район",1,61.0,0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",12.0,20000.0,0,0,1,1,0,70.0,176.0,1,2022
"Пермский край, Соликамск и Соликамский район",0,38.0,0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,8.0,40000.0,0,0,1,1,0,94.0,179.0,1,2022
"Пермский край, Соликамск и Соликамский район",1,37.0,1,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,8.0,40000.0,0,1,0,1,1,67.0,170.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,38.0,1,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,8.0,40000.0,0,1,1,1,0,68.0,162.0,1,2022
"Пермский край, Соликамск и Соликамский район",0,34.0,1,"АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ",12.0,20000.0,0,0,1,0,0,65.0,165.0,1,2022
"Пермский край, Соликамск и Соликамский район",0,34.0,1,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,8.0,25000.0,0,1,0,1,0,80.0,167.0,0,2022
"Пермский край, Соликамск и Соликамский район",1,29.0,1,"ТРАНСПОРТ, СВЯЗЬ",12.0,30000.0,0,1,0,1,0,53.0,165.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,29.0,0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",8.0,15000.0,0,1,1,0,0,72.0,178.0,1,2022
"Пермский край, Соликамск и Соликамский район",2,61.0,1,ОБРАЗОВАНИЕ,7.0,25000.0,0,1,1,1,0,65.0,162.0,0,2022
"Пермский край, Соликамск и Соликамский район",2,35.0,1,ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,12.0,30000.0,0,1,1,1,0,62.0,167.0,0,2022
"Пермский край, Соликамск и Соликамский район",0,32.0,0,ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,8.0,40000.0,0,1,1,1,0,70.0,180.0,1,2022
"Пермский край, Соликамск и Соликамский район",1,39.0,0,"ДЕРЕВООБРАБАТЫВАЮЩАЯ ПРОМЫШЛЕННОСТЬ, ЛЕСНОЕ ХОЗЯЙСТВО",8.0,35000.0,0,1,1,1,0,83.0,180.0,1,2022
"Калужская область, Куйбышевский район",0,55.0,1,ОРГАНЫ УПРАВЛЕНИЯ,7.0,14000.0,0,1,0,1,0,60.0,158.0,0,2022
"Калужская область, Куйбышевский район",0,52.0,0,ОБРАЗОВАНИЕ,10.0,34000.0,0,1,0,1,0,90.0,182.0,0,2022
"Калужская область, Куйбышевский район",0,62.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",3.0,2000.0,0,0,1,1,0,80.0,168.0,0,2022
"Калужская область, Куйбышевский район",2,39.0,0,"СПОРТ, ТУРИЗМ, РАЗВЛЕЧЕНИЯ",8.0,40000.0,0,1,1,1,0,70.0,175.0,0,2022
"Тамбовская область, Уварово и Уваровский район",2,62.0,1,ОРГАНЫ УПРАВЛЕНИЯ,8.0,32000.0,0,1,1,1,0,65.0,164.0,0,2022
"Тамбовская область, Уварово и Уваровский район",0,41.0,1,ЗДРАВООХРАНЕНИЕ,24.0,18400.0,0,1,1,1,0,85.0,162.0,1,2022
"Тамбовская область, Уварово и Уваровский район",0,58.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",12.0,15000.0,0,1,1,1,0,96.0,164.0,0,2022
"Тамбовская область, Уварово и Уваровский район",0,54.0,0,"ТРАНСПОРТ, СВЯЗЬ",8.0,30000.0,0,1,0,1,0,86.0,182.0,0,2022
"Тамбовская область, Уварово и Уваровский район",1,38.0,1,ОБРАЗОВАНИЕ,8.0,13000.0,0,1,0,1,0,68.0,162.0,0,2022
"Тамбовская область, Уварово и Уваровский район",0,51.0,1,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,8.0,13000.0,0,0,1,1,0,82.0,171.0,0,2022
"Тамбовская область, Уварово и Уваровский район",0,43.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",14.0,7000.0,0,1,1,1,0,90.0,160.0,0,2022
"Тамбовская область, Уварово и Уваровский район",2,32.0,0,"АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ",10.0,40000.0,0,1,1,1,0,95.0,179.0,0,2022
"Тамбовская область, Уварово и Уваровский район",1,50.0,1,ЗДРАВООХРАНЕНИЕ,7.0,21000.0,0,1,1,1,1,60.0,164.0,0,2022
"Тамбовская область, Уварово и Уваровский район",1,50.0,1,ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,5.0,13000.0,0,1,1,1,1,90.0,166.0,0,2022
"Тамбовская область, Уварово и Уваровский район",0,51.0,0,СТРОИТЕЛЬСТВО,9.0,40000.0,0,0,1,1,0,88.0,180.0,0,2022
"Тамбовская область, Уварово и Уваровский район",1,27.0,1,ОБРАЗОВАНИЕ,6.0,12700.0,0,1,1,1,0,52.0,160.0,0,2022
"Тамбовская область, Уварово и Уваровский район",0,52.0,1,ЗДРАВООХРАНЕНИЕ,12.0,13000.0,0,1,1,1,0,84.0,165.0,0,2022
"Тамбовская область, Уварово и Уваровский район",0,56.0,0,СТРОИТЕЛЬСТВО,12.0,90000.0,0,1,1,1,1,82.0,170.0,0,2022
"Тамбовская область, Уварово и Уваровский район",2,32.0,0,"ТРАНСПОРТ, СВЯЗЬ",12.0,50000.0,0,1,1,0,0,65.0,170.0,1,2022
"Тамбовская область, Уварово и Уваровский район",1,50.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",12.0,45000.0,0,1,1,1,1,72.0,153.0,0,2022
"Волгоградская область, Руднянский район",1,65.0,1,ЗДРАВООХРАНЕНИЕ,8.0,15000.0,0,1,0,1,0,68.0,174.0,0,2022
"Волгоградская область, Руднянский район",0,52.0,0,ОБРАЗОВАНИЕ,24.0,13000.0,0,1,1,1,0,100.0,168.0,1,2022
"Волгоградская область, Руднянский район",1,61.0,0,СТРОИТЕЛЬСТВО,12.0,30000.0,0,0,0,1,0,100.0,175.0,0,2022
"Волгоградская область, Руднянский район",1,54.0,1,ОБРАЗОВАНИЕ,8.0,24000.0,0,1,0,1,0,60.0,165.0,0,2022
"Волгоградская область, Руднянский район",2,55.0,1,ЗДРАВООХРАНЕНИЕ,6.0,29000.0,0,1,1,0,0,82.0,164.0,0,2022
"Волгоградская область, Руднянский район",2,58.0,1,ОРГАНЫ УПРАВЛЕНИЯ,8.0,20000.0,0,1,0,1,1,80.0,170.0,0,2022
"Волгоградская область, Руднянский район",1,36.0,1,НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ,12.0,24000.0,0,1,1,1,0,65.0,165.0,0,2022
"Волгоградская область, Руднянский район",1,34.0,1,СЕЛЬСКОЕ ХОЗЯЙСТВО,7.0,15000.0,0,1,1,1,0,63.0,163.0,0,2022
"Волгоградская область, Руднянский район",1,40.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",12.0,13000.0,0,1,1,1,0,82.0,164.0,0,2022
"Волгоградская область, Руднянский район",1,51.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",10.0,35000.0,0,1,0,1,0,80.0,160.0,0,2022
"Волгоградская область, Руднянский район",0,33.0,0,"АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ",24.0,35000.0,0,1,0,0,0,78.0,192.0,1,2022
"Волгоградская область, Руднянский район",2,51.0,1,ОБРАЗОВАНИЕ,8.0,43000.0,0,1,1,1,1,82.0,164.0,0,2022
"Волгоградская область, Руднянский район",2,60.0,1,ОРГАНЫ УПРАВЛЕНИЯ,8.0,13000.0,0,1,0,1,1,80.0,158.0,0,2022
"Волгоградская область, Руднянский район",0,61.0,0,СЕЛЬСКОЕ ХОЗЯЙСТВО,12.0,10000.0,0,1,1,1,0,120.0,178.0,0,2022
"Волгоградская область, Руднянский район",0,58.0,0,"ТРАНСПОРТ, СВЯЗЬ",10.0,40000.0,0,0,0,1,0,83.0,170.0,1,2022
"Волгоградская область, Руднянский район",0,58.0,1,ОБРАЗОВАНИЕ,8.0,13400.0,0,1,0,1,1,90.0,164.0,0,2022
Казань,2,40.0,1,ОБРАЗОВАНИЕ,8.0,50000.0,1,1,1,1,0,63.0,167.0,0,2022
Казань,1,34.0,0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",12.0,40000.0,0,1,1,0,0,75.0,182.0,0,2022
Казань,2,28.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",12.0,27000.0,1,1,1,0,0,55.0,176.0,0,2022
Казань,0,58.0,0,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,24.0,24600.0,0,0,0,0,0,85.0,180.0,1,2022
Казань,1,52.0,0,СТРОИТЕЛЬСТВО,11.0,80000.0,0,1,1,1,0,80.0,174.0,0,2022
Казань,2,37.0,0,СТРОИТЕЛЬСТВО,8.0,80000.0,0,1,1,1,0,70.0,185.0,1,2022
Казань,1,35.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",12.0,60000.0,0,1,1,1,0,75.0,156.0,1,2022
Казань,0,59.0,0,ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ,8.0,45000.0,0,1,1,1,0,80.0,176.0,1,2022
Казань,2,53.0,1,ОБРАЗОВАНИЕ,6.0,33000.0,0,1,1,1,0,90.0,166.0,0,2022
Казань,2,45.0,1,ОБРАЗОВАНИЕ,8.0,25000.0,0,1,0,1,0,80.0,162.0,0,2022
Казань,2,59.0,1,ОБРАЗОВАНИЕ,8.0,30000.0,1,1,1,1,0,80.0,166.0,0,2022
Казань,2,30.0,0,НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ,8.0,30000.0,1,1,1,0,0,95.0,180.0,1,2022
Казань,2,63.0,1,ОБРАЗОВАНИЕ,8.0,25000.0,0,1,0,1,0,57.0,167.0,0,2022
Казань,2,38.0,0,"ТРАНСПОРТ, СВЯЗЬ",8.0,40000.0,1,1,1,1,1,60.0,184.0,1,2022
Казань,2,54.0,1,ОБРАЗОВАНИЕ,8.0,37000.0,1,1,1,1,0,90.2,161.69999999999996,0,2022
Казань,2,27.0,0,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,8.0,30000.0,1,1,0,0,0,96.0,186.5,0,2022
Казань,2,50.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",8.0,28000.0,1,1,1,1,0,68.0,159.0,0,2022
Казань,1,56.0,0,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,8.0,35000.0,1,1,1,1,0,79.0,178.0,0,2022
Казань,2,30.0,0,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,8.0,40000.0,1,1,1,0,0,64.0,168.0,0,2022
Казань,2,36.0,0,ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,8.0,35000.0,1,1,1,1,0,110.0,178.0,0,2022
Казань,1,69.0,1,ОБРАЗОВАНИЕ,6.0,15200.0,0,0,1,1,0,88.0,158.0,0,2022
Казань,0,47.0,0,ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,7.0,30000.0,0,1,1,1,0,89.0,185.0,1,2022
Казань,1,47.0,1,ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,7.0,30000.0,1,1,1,1,1,94.0,170.0,1,2022
Казань,2,40.0,0,"СМИ, ИЗДАТЕЛЬСТВО, ПЕЧАТЬ, ТЕЛЕКОММУНИКАЦИИ",8.0,30000.0,1,1,1,1,0,127.0,183.7,1,2022
Казань,0,65.0,1,ОБРАЗОВАНИЕ,6.0,13000.0,0,0,0,1,1,70.0,157.0,0,2022
Казань,0,53.0,0,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,8.0,35000.0,0,0,1,0,0,70.0,186.0,0,2022
Казань,2,39.0,1,ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ,8.0,35000.0,1,1,1,1,0,65.0,165.0,0,2022
Казань,2,46.0,1,"ТРАНСПОРТ, СВЯЗЬ",8.0,38000.0,0,1,0,1,0,60.0,167.0,0,2022
Казань,2,48.0,0,СТРОИТЕЛЬСТВО,8.0,30000.0,0,1,1,1,0,105.0,174.0,1,2022
Казань,2,58.0,1,ЗДРАВООХРАНЕНИЕ,12.0,16000.0,0,1,1,1,1,63.0,152.0,0,2022
Казань,2,64.0,0,ОБРАЗОВАНИЕ,8.0,16000.0,0,1,1,1,0,70.0,168.0,0,2022
Казань,2,31.0,0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",12.0,50000.0,1,1,1,1,0,66.0,174.0,0,2022
Казань,2,29.0,1,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",12.0,35000.0,1,1,1,0,0,57.0,156.0,0,2022
Казань,0,65.0,0,СТРОИТЕЛЬСТВО,8.0,25000.0,0,1,1,1,0,65.0,170.0,1,2022
Казань,2,41.0,1,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,12.0,23000.0,0,1,1,1,0,54.0,167.0,0,2022
Казань,2,37.0,0,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,8.0,50000.0,0,1,0,1,0,79.0,175.0,0,2022
Казань,2,46.0,1,ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,8.0,50000.0,0,1,1,1,0,68.0,172.0,0,2022
Казань,2,34.0,1,ЮРИСПРУДЕНЦИЯ,8.0,40000.0,1,1,0,1,1,50.0,164.0,0,2022
Курган,1,36.0,1,ЗДРАВООХРАНЕНИЕ,8.0,29000.0,0,1,1,1,0,82.0,164.0,0,2022
